"","Round","Generation","Best Candidate Fitness","Best Candidate Standard Deviation","Mean Fitness","Elapsed Time(Milli Second)","Best Candidate","Method Name"
"73",2,7,8,0.440340777126081,9.81,8,"[[3, 2], [2, 4], [6, 3], [4, 2], [0, 1], [7, 6], [5, 9], [0, 5], [2, 5], [2, 6]]","determineGuess"
"82",2,8,9,0.17058722109232,9.97,9,"[[8, 5], [7, 7], [7, 0], [6, 2], [7, 0], [4, 0], [5, 8], [2, 7], [7, 3], [8, 2]]","determineGuess"
"91",2,9,10,0,10,10,"[[1, 4], [3, 5], [8, 4], [5, 1], [8, 5], [9, 5], [4, 0], [6, 0], [3, 4], [7, 6]]","determineGuess"
"312",3,1,5,1.24173266043863,7.91,4,"[[7, 7], [1, 3], [0, 8], [2, 3], [0, 2], [5, 4], [5, 5], [4, 2], [0, 7], [5, 1]]","determineGuess"
"412",3,2,6,1.06,8.58,5,"[[9, 8], [6, 6], [0, 4], [5, 5], [7, 6], [2, 0], [7, 4], [7, 1], [7, 7], [8, 1]]","determineGuess"
"512",3,3,6,0.95346735654662,9.03,6,"[[1, 7], [5, 6], [2, 2], [4, 0], [1, 3], [0, 0], [8, 0], [7, 7], [2, 2], [7, 4]]","determineGuess"
"611",3,4,8,0.549454274712646,9.59,7,"[[9, 7], [8, 2], [0, 8], [3, 8], [4, 6], [3, 7], [7, 1], [2, 5], [5, 5], [4, 5]]","determineGuess"
"74",3,7,8,0.354400902933387,9.88,8,"[[4, 7], [8, 8], [3, 1], [4, 4], [3, 8], [8, 1], [8, 2], [9, 8], [9, 3], [8, 7]]","determineGuess"
"83",3,8,9,0.14,9.98,9,"[[4, 3], [9, 1], [1, 4], [3, 4], [6, 4], [9, 8], [0, 5], [5, 4], [4, 7], [2, 6]]","determineGuess"
"92",3,9,10,0,10,10,"[[9, 2], [7, 6], [8, 6], [9, 8], [3, 4], [5, 2], [8, 4], [3, 8], [3, 7], [8, 1]]","determineGuess"
"313",4,1,5,1.29657240445723,7.83,4,"[[0, 1], [9, 3], [3, 7], [3, 4], [8, 8], [0, 3], [2, 1], [0, 7], [7, 1], [0, 2]]","determineGuess"
"413",4,2,6,1.00254675701435,8.57,5,"[[6, 6], [4, 5], [6, 1], [7, 5], [7, 7], [4, 1], [9, 8], [1, 3], [0, 8], [0, 3]]","determineGuess"
"513",4,3,7,0.868101376568429,9.08,6,"[[0, 5], [9, 5], [8, 8], [9, 1], [4, 5], [0, 3], [4, 8], [5, 6], [6, 5], [8, 1]]","determineGuess"
"612",4,4,8,0.608194047981399,9.51,8,"[[0, 7], [5, 5], [1, 0], [5, 6], [5, 2], [5, 4], [8, 2], [1, 2], [8, 3], [1, 8]]","determineGuess"
"75",4,7,8,0.453762052181537,9.79,9,"[[7, 7], [0, 8], [8, 7], [5, 0], [2, 6], [8, 3], [4, 5], [3, 4], [3, 4], [6, 5]]","determineGuess"
"84",4,8,9,0.237486841740759,9.94,10,"[[8, 7], [6, 0], [2, 1], [2, 0], [7, 3], [2, 7], [0, 3], [5, 2], [7, 2], [5, 4]]","determineGuess"
"93",4,9,9,0.14,9.98,11,"[[1, 9], [8, 3], [2, 1], [8, 0], [8, 3], [9, 2], [1, 0], [1, 9], [2, 2], [5, 8]]","determineGuess"
"101",4,10,9,0.099498743710662,9.99,13,"[[1, 9], [2, 0], [8, 0], [1, 8], [8, 3], [9, 2], [1, 0], [1, 9], [2, 2], [5, 8]]","determineGuess"
"11",4,11,10,0,10,14,"[[7, 6], [3, 2], [2, 8], [6, 3], [9, 3], [9, 0], [8, 7], [3, 6], [9, 0], [5, 3]]","determineGuess"
"314",5,1,3,1.25263721803242,8.03,3,"[[0, 8], [3, 3], [2, 7], [5, 5], [5, 1], [8, 8], [0, 7], [2, 6], [0, 7], [2, 2]]","determineGuess"
"414",5,2,3,0.986458311334036,8.63,4,"[[0, 8], [3, 3], [2, 7], [5, 1], [5, 5], [8, 8], [0, 7], [2, 6], [0, 7], [2, 2]]","determineGuess"
"514",5,3,7,0.760197342799881,9.11,6,"[[6, 3], [8, 0], [8, 4], [4, 1], [1, 1], [5, 6], [6, 8], [0, 6], [0, 7], [8, 6]]","determineGuess"
"613",5,4,8,0.608194047981399,9.51,7,"[[4, 6], [4, 6], [7, 3], [5, 1], [9, 7], [2, 2], [3, 7], [1, 4], [8, 8], [4, 8]]","determineGuess"
"76",5,7,9,0.427083130081253,9.76,8,"[[7, 6], [5, 1], [4, 8], [4, 8], [2, 5], [7, 1], [4, 0], [6, 6], [6, 1], [4, 0]]","determineGuess"
"85",5,8,9,0.3,9.9,10,"[[8, 6], [0, 7], [7, 2], [6, 2], [8, 5], [7, 1], [2, 9], [7, 2], [1, 5], [2, 7]]","determineGuess"
"94",5,9,9,0.17058722109232,9.97,11,"[[5, 3], [6, 1], [1, 8], [6, 1], [5, 5], [1, 3], [3, 8], [8, 2], [1, 3], [9, 1]]","determineGuess"
"102",5,10,9,0.099498743710662,9.99,12,"[[6, 0], [6, 9], [1, 8], [6, 1], [5, 5], [1, 3], [3, 8], [8, 2], [5, 3], [2, 7]]","determineGuess"
"111",5,11,10,0,10,13,"[[6, 1], [5, 7], [5, 1], [6, 0], [4, 8], [4, 5], [1, 3], [6, 2], [9, 7], [2, 7]]","determineGuess"
"315",6,1,5,1.31848397790796,8.04,3,"[[4, 2], [1, 4], [2, 5], [6, 6], [0, 4], [5, 0], [0, 3], [0, 1], [9, 9], [4, 6]]","determineGuess"
"415",6,2,2,1.19042009391643,8.73,5,"[[2, 2], [0, 7], [3, 3], [3, 3], [2, 6], [5, 7], [0, 4], [6, 6], [0, 6], [2, 2]]","determineGuess"
"515",6,3,6,0.812403840463596,9.2,6,"[[2, 2], [8, 1], [2, 0], [8, 6], [0, 6], [4, 5], [6, 6], [5, 7], [5, 5], [3, 5]]","determineGuess"
"614",6,4,7,0.661740130262626,9.61,7,"[[6, 6], [6, 4], [6, 1], [5, 1], [4, 5], [1, 8], [4, 4], [4, 5], [6, 0], [4, 4]]","determineGuess"
"77",6,7,9,0.357071421427143,9.85,9,"[[5, 7], [7, 0], [0, 6], [8, 6], [3, 2], [8, 2], [5, 7], [7, 3], [8, 2], [1, 8]]","determineGuess"
"86",6,8,9,0.17058722109232,9.97,11,"[[7, 6], [3, 8], [7, 1], [8, 4], [5, 1], [7, 5], [6, 9], [4, 5], [0, 0], [4, 5]]","determineGuess"
"95",6,9,10,0,10,13,"[[4, 3], [3, 6], [2, 7], [8, 2], [6, 4], [8, 4], [6, 9], [4, 9], [1, 8], [8, 3]]","determineGuess"
"316",7,1,5,1.24012096184203,8.11,3,"[[1, 4], [0, 2], [3, 3], [5, 2], [5, 5], [4, 4], [5, 3], [6, 5], [0, 8], [2, 1]]","determineGuess"
"416",7,2,5,1.11803398874989,8.7,4,"[[7, 2], [5, 3], [0, 6], [4, 3], [6, 6], [0, 1], [0, 5], [0, 9], [3, 1], [1, 3]]","determineGuess"
"516",7,3,6,0.921466222929522,9.03,5,"[[7, 2], [0, 6], [5, 3], [6, 3], [5, 6], [8, 8], [0, 5], [0, 9], [3, 1], [1, 3]]","determineGuess"
"615",7,4,8,0.644670458451448,9.38,6,"[[2, 4], [2, 8], [1, 3], [6, 2], [5, 3], [4, 5], [7, 0], [4, 4], [8, 8], [6, 9]]","determineGuess"
